Feature,Importance
has_Dehydration,0.010915583996569854
Eye_Discharge_bin,0.012554115046758343
has_Sneezing,0.013585256947225195
Labored_Breathing_bin,0.015488878368341296
Coughing_bin,0.017627348301180363
has_Lethargy,0.018683879056799323
has_Weight_Loss,0.02117441747445899
Gender_bin,0.02301073481535195
Appetite_Loss_bin,0.026045357734511262
Skin_Lesions_bin,0.03548614264292621
Lameness_bin,0.040362200377017994
Diarrhea_bin,0.043633705052910504
Nasal_Discharge_bin,0.045668211808426826
Vomiting_bin,0.04975300877926068
Weight,0.06727245158195792
Age,0.1100657623611481
Heart_Rate,0.12388589083052844
Duration_days,0.1610635362699752
Body_Temperature,0.16372351855465153
