Model,Accuracy,Balanced_Accuracy,F1_macro,F1_weighted,Precision_macro,Precision_weighted,Recall_macro,Recall_weighted,Specificity_macro,Cohen_Kappa,MCC,Log_Loss,Top2_Accuracy,Top3_Accuracy,ROC_AUC_macro,ROC_AUC_weighted,Train_Time(s),Best_Epoch,Best_Val_Loss,Inference_Time(s),Throughput_samples_s,Params,ModelSize_MB,Epochs
Stacking_All_Top5,0.9306,0.9306360317151685,0.9305653481305325,0.9305290993389924,0.9307498510480308,0.9307134588515411,0.9306360317151685,0.9306,0.9959175203362105,0.9265176412666847,0.9265335243692662,0.19382075196468448,0.9921,0.9971,0.9977100732213456,0.9977086428270493,0.0,0,0.0,0.0,0.0,0,0.0,0
Ensemble_All_Top5,0.9302,0.9302385118931882,0.9298884982966109,0.9298511944372719,0.9299789724602581,0.9299430913782724,0.9302385118931882,0.9302,0.9958939941769375,0.9260941266896598,0.926122172264627,0.17754769764624798,0.9945,0.9985,,,0.0,0,0.0,0.0,0.0,0,0.0,0
Stacking_SK_Top5,0.9293,0.9293359906669258,0.929303598329893,0.9292667901178571,0.9294219284140558,0.9293843373568225,0.9293359906669258,0.9293,0.99584104552636,0.9251411650215899,0.9251502163025663,0.19480651178294564,0.9924,0.9966,0.9976862867433103,0.9976848507308076,0.0,0,0.0,0.0,0.0,0,0.0,0
Ensemble_SK_Top5,0.9292,0.9292364306752794,0.9290908300232927,0.9290541880983263,0.9291368587550767,0.9291001034380936,0.9292364306752794,0.9292,0.9958351666335693,0.925035289002408,0.925047434411894,0.18761219610290128,0.9942,0.9988,0.9979544759648741,0.9979531414166011,0.0,0,0.0,0.0,0.0,0,0.0,0
Ensemble_DL_Top5,0.9269,0.9269391693852125,0.9266336345430882,0.926595439298948,0.9271316667491936,0.9270949449913207,0.9269391693852125,0.9269,0.9956998723771411,0.9226000070115288,0.9226541499332982,0.1776355466498034,0.994,0.9987,,,0.0,0,0.0,0.0,0.0,0,0.0,0
Stacking_DL_Top5,0.9265,0.9265384089125095,0.9264359543634288,0.9263983347136915,0.9268705956612254,0.9268340675965239,0.9265384089125095,0.9265,0.9956763431037179,0.922176474342076,0.9222127114986504,0.21271160878102782,0.9909,0.9963,0.9971382490279316,0.9971366680624291,0.0,0,0.0,0.0,0.0,0,0.0,0
HistGradientBoosting,0.9259,0.9259372682034552,0.9257712631986929,0.9257335369007542,0.9258373792540596,0.9257992867329591,0.9259372682034552,0.9259,0.9956410442109429,0.921541168624705,0.9215562443262969,0.1756955488142723,0.9944,0.9988,0.9979855831075979,0.997984227222003,11.775112628936768,0,0.0,0.5963755369186401,16767.95807498764,309,8.353271484375,0
MLP_Medium,0.9253,0.9253409884704848,0.9248548021999556,0.9248166261026305,0.9252215525817592,0.9251866805787827,0.9253409884704848,0.9253,0.9956057627574091,0.9209059087796728,0.9209577677094091,0.18526431166104948,0.9933,0.9985,,,45.43476963043213,75,0.17096964914798737,0.08769381046295166,114033.13354965615,48338,0.1947345733642578,500
MLP_Small,0.925,0.9250388878086719,0.9248582348191121,0.9248200828499786,0.92491800897819,0.9248806463135526,0.9250388878086719,0.925,0.9955881061484759,0.9205882391245673,0.9206019247842403,0.17967558583484847,0.993,0.9987,,,61.22894835472107,129,0.16742809834480285,0.08370697498321533,119464.35768351646,12370,0.05372428894042969,500
RandomForest,0.925,0.9250342068687392,0.9248816121219599,0.9248451054855085,0.9249385375957146,0.9248997279453449,0.9250342068687392,0.925,0.9955880999201755,0.9205882088546625,0.9206009587326283,0.23128389467609956,0.9936,0.9986,0.9976590442426085,0.9976576296354719,0.6367123126983643,0,0.0,0.057876753807067874,172780.94126244527,18,626.112832069397,0
MLP_XXL,0.9232,0.9232399665852902,0.9227439272855358,0.9227045142654783,0.9235185432543221,0.9234806045252981,0.9232399665852902,0.9232,0.9954822206810915,0.9186823577245672,0.9187711217735829,0.18580430600342351,0.9935,0.9978,,,27.7501277923584,23,0.17639481620788575,0.08228988647460937,121521.6161840922,715666,2.7529869079589844,200
MLP_Large,0.9231,0.9231398664851902,0.9227277689988759,0.9226895033794744,0.9230400650538783,0.9230036413212798,0.9231398664851902,0.9231,0.9954763449024511,0.9185764839991674,0.9186232409330216,0.18632997172980537,0.9934,0.9979,,,32.1692111492157,34,0.1753208001613617,0.09875941276550293,101256.17113321922,185810,0.72491455078125,300
XGBoost,0.9226,0.9226406262377486,0.9225339361084612,0.922493214447951,0.9226739924657524,0.922633315258728,0.9226406262377486,0.9226,0.9954469174285061,0.9180470540991832,0.9180635696724452,0.20491103776937034,0.9944,0.999,0.997767540787349,0.9977660598576793,10.117163896560669,0,0.0,0.025689339637756346,389266.5261547914,0,50.78238391876221,0
MLP_XL,0.9224,0.9224391657844895,0.922265330658916,0.9222264076232521,0.9231855709411801,0.9231476108530482,0.9224391657844895,0.9224,0.995435160265755,0.9178352928610104,0.917910501968174,0.18669468120162924,0.9935,0.9981,,,30.132710218429565,28,0.17618555064201355,0.08453030586242676,118300.76678386827,442258,1.7049808502197266,200
MLP_diamond_Small,0.9212,0.9212347239325656,0.9215005138054794,0.9214627802573994,0.9221983521711231,0.9221576391135692,0.9212347239325656,0.9212,0.9953645612345446,0.9165646675021,0.9165909298489938,0.1945960692492331,0.9921,0.9982,,,29.245110273361206,38,0.18531265723705292,0.08545374870300293,117022.36767582076,37042,0.1454029083251953,500
MLP_diamond_Medium,0.9181,0.9181444033962018,0.9175692479095512,0.9175322518298966,0.9180146556647748,0.9179854674080657,0.9181444033962018,0.9181,0.9951822570120137,0.913282434251647,0.9133436323571343,0.20236736264827934,0.9929,0.9985,,,28.032354831695557,33,0.19528224382400514,0.08076198101043701,123820.63781604964,143698,0.5523395538330078,500
