Model,Accuracy,F1,AUC_ROC,AUC_PR,Sensitivity,Specificity,PPV,NPV,Cohen_Kappa,MCC,Brier_Score,Youden_J,Params_M,Train_Time_s,Inference_ms,Epochs_Trained
FastViT_T8,0.9859649122807016,0.984126984126984,0.9992275490880096,0.999103837746668,0.9763779527559056,0.9936708860759492,0.992,0.98125,0.9715497878712254,0.9716481011112524,0.0134864064250402,0.9700488388318548,11.1,127.0,0.98,47
GhostNetV2,0.9894736842105264,0.9881422924901184,0.9989036180604006,0.9986716548782424,0.984251968503937,0.9936708860759492,0.992063492063492,0.9874213836477987,0.9786788359392534,0.9787035535203756,0.0126052247146151,0.9779228545798864,5.2,78.7,0.9,27
EdgeNeXt_Small,0.9894736842105264,0.9881422924901184,0.9972590451510016,0.9974912459674136,0.984251968503937,0.9936708860759492,0.992063492063492,0.9874213836477987,0.9786788359392534,0.9787035535203756,0.0115366235161562,0.9779228545798864,5.4,78.2,0.94,29
RepViT_M1,0.9894736842105264,0.9880478087649402,0.9972590451510016,0.9970871381149016,0.9763779527559056,1.0,1.0,0.9813664596273292,0.978645820325183,0.978869028396671,0.0107395769969921,0.9763779527559056,4.8,59.5,0.77,15
StarNet_S2,0.975438596491228,0.9725490196078432,0.9970597029801656,0.997119047886304,0.9763779527559056,0.9746835443037974,0.96875,0.9808917197452228,0.9503274157806936,0.950351343267974,0.0148479904311125,0.9510614970597028,3.5,43.2,0.82,21
EfficientNet_Lite0,0.950877192982456,0.946969696969697,0.9970597029801654,0.9966381068409156,0.984251968503937,0.9240506329113924,0.9124087591240876,0.9864864864864864,0.9013401908906582,0.9035866809487376,0.022155973200647,0.9083026014153296,3.7,50.8,1.0,24
LCNet,0.975438596491228,0.9723320158102768,0.9967606897239112,0.9964693022020784,0.968503937007874,0.981012658227848,0.9761904761904762,0.9748427672955976,0.9502506171915912,0.9502746167876328,0.019240496407272,0.949516595235722,2.0,32.5,0.94,17
EfficientFormerV2_S0,0.9824561403508772,0.980544747081712,0.9950662812718032,0.9936650230374297,0.9921259842519684,0.9746835443037974,0.9692307692307692,0.9935483870967742,0.9645742697327532,0.9647922378586752,0.0166032578265806,0.966809528555766,3.3,90.0,1.13,32
XCiT_Nano,0.9824561403508772,0.9799196787148594,0.9949666101863848,0.9960026737265232,0.9606299212598424,1.0,1.0,0.9693251533742332,0.964354503839708,0.9649677433785412,0.0138703162687652,0.9606299212598426,3.0,94.4,1.01,23
HGNetV2_B0,0.975438596491228,0.9718875502008032,0.9939948171035582,0.9925788310782684,0.952755905511811,0.9936708860759492,0.9918032786885246,0.9631901840490796,0.950096305375591,0.9507004780297716,0.0188440315451529,0.9464267915877604,4.5,38.4,0.88,17
TinyNet_E,0.968421052631579,0.9649805447470816,0.9939200637894948,0.9939485997060984,0.9763779527559056,0.9620253164556962,0.953846153846154,0.9806451612903224,0.936233685518956,0.9364452494267448,0.0219606044066104,0.9384032692116018,1.1,37.0,0.97,17
MobileOne_S1,0.975438596491228,0.9725490196078432,0.9929233529353134,0.9920765888470872,0.9763779527559056,0.9746835443037974,0.96875,0.9808917197452228,0.9503274157806936,0.950351343267974,0.0184684251064191,0.9510614970597028,3.9,43.9,0.94,16
MobileViTV2,0.968421052631579,0.9649805447470816,0.9928735173926044,0.9900104279071558,0.9763779527559056,0.9620253164556962,0.953846153846154,0.9806451612903224,0.936233685518956,0.9364452494267448,0.0258249108709898,0.9384032692116018,1.2,51.2,0.95,21
ConvNeXtV2_Atto,0.9859649122807016,0.984126984126984,0.9926492574504135,0.9951954423222792,0.9763779527559056,0.9936708860759492,0.992,0.98125,0.9715497878712254,0.9716481011112524,0.0139861793667987,0.9700488388318548,3.5,62.9,0.89,26
MobileNetV3_Small,0.9859649122807016,0.984251968503937,0.9924249975082228,0.9902829290781228,0.984251968503937,0.9873417721518988,0.984251968503937,0.9873417721518988,0.9715937406558356,0.9715937406558356,0.0142484414595888,0.9715937406558356,1.8,41.6,0.93,23
RegNetY_002,0.968421052631579,0.9647058823529412,0.9904315757998604,0.9894204242759806,0.968503937007874,0.9683544303797468,0.9609375,0.9745222929936306,0.9361352488608918,0.9361588190156488,0.026631750614316,0.9368583673876208,2.9,34.9,0.97,13
YOLO26s,0.950877192982456,0.9457364341085271,0.9848998305591548,0.9846939018313828,0.9606299212598424,0.9430379746835444,0.931297709923664,0.9675324675324676,0.9008843402225756,0.9012457907098392,0.0419932322596044,0.9036678959433868,4.9,44.8,0.63,29
EfficientViT_B0,0.9263157894736842,0.9135802469135802,0.9828565733080832,0.981536910946844,0.8740157480314961,0.9683544303797468,0.956896551724138,0.9053254437869822,0.8495891030635068,0.8522382860378899,0.0541339478332562,0.842370178411243,2.5,41.4,0.67,20
MobileNetV4_Small,0.9263157894736842,0.9163346613545816,0.97931824977574,0.9788630364487886,0.905511811023622,0.9430379746835444,0.9274193548387096,0.9254658385093169,0.8505207422762806,0.8507147277720558,0.053609905062498,0.8485497857071662,2.8,55.2,0.6,24
YOLO26n,0.912280701754386,0.9019607843137256,0.968080334894847,0.9672029653932708,0.905511811023622,0.9177215189873418,0.8984375,0.9235668789808916,0.8225979135024774,0.822618624997048,0.0698563584669101,0.8232333300109638,1.3,41.9,0.61,9
